iter	Passed	Remaining
714	835	332
715	836	331
716	837	330
717	838	329
718	839	328
719	840	326
720	841	325
721	842	324
722	843	323
723	844	322
724	845	320
725	846	319
726	847	318
727	848	317
728	849	315
729	850	314
730	851	313
731	852	312
732	853	311
733	854	309
734	855	308
735	857	307
736	858	306
737	859	305
738	860	303
739	861	302
740	862	301
741	863	300
742	863	298
743	864	297
744	865	296
745	867	295
746	868	293
747	869	292
748	870	291
749	871	290
750	872	289
751	873	288
752	874	286
753	875	285
754	876	284
755	877	283
756	878	281
757	879	280
758	880	279
759	881	278
760	882	277
761	883	275
762	884	274
763	885	273
764	886	272
765	887	271
766	888	270
767	889	268
768	890	267
769	891	266
770	892	265
771	893	263
772	894	262
773	895	261
774	896	260
775	897	259
776	898	257
777	899	256
778	900	255
779	901	254
780	902	253
781	903	251
782	904	250
783	905	249
784	906	248
785	907	247
786	908	245
787	909	244
788	910	243
789	911	242
790	912	241
791	913	239
792	914	238
793	915	237
794	917	236
795	918	235
796	919	234
797	920	232
798	921	231
799	921	230
800	922	229
801	923	228
802	924	226
803	925	225
804	926	224
805	927	223
806	928	222
807	929	220
808	930	219
809	931	218
810	932	217
811	933	216
812	934	215
813	935	213
814	936	212
815	937	211
816	938	210
817	939	208
818	940	207
819	941	206
820	942	205
821	943	204
822	944	203
823	945	201
824	946	200
825	947	199
826	948	198
827	949	197
828	950	196
829	951	194
830	952	193
831	953	192
832	954	191
833	955	190
834	956	188
835	957	187
836	958	186
837	959	185
838	960	184
839	961	183
840	963	182
841	964	180
842	965	179
843	966	178
844	966	177
845	967	176
846	968	175
847	969	173
848	970	172
849	971	171
850	972	170
851	973	169
852	974	167
853	975	166
854	976	165
855	978	164
856	979	163
857	980	162
858	981	161
859	982	159
860	983	158
861	984	157
862	985	156
863	986	155
864	987	154
865	988	152
866	989	151
867	990	150
868	991	149
869	992	148
870	994	147
871	995	146
872	996	144
873	997	143
874	998	142
875	999	141
876	1000	140
877	1001	139
878	1001	137
879	1002	136
880	1003	135
881	1004	134
882	1005	133
883	1007	132
884	1008	131
885	1009	129
886	1010	128
887	1011	127
888	1012	126
889	1013	125
890	1014	124
891	1015	122
892	1016	121
893	1016	120
894	1017	119
895	1019	118
896	1019	117
897	1020	115
898	1021	114
899	1023	113
900	1024	112
901	1025	111
902	1026	110
903	1027	109
904	1028	107
905	1029	106
906	1029	105
907	1031	104
908	1031	103
909	1032	102
910	1034	101
911	1035	99
912	1036	98
913	1037	97
914	1038	96
915	1039	95
916	1040	94
917	1041	93
918	1042	91
919	1042	90
920	1043	89
921	1044	88
922	1045	87
923	1046	86
924	1047	84
925	1048	83
926	1049	82
927	1050	81
928	1051	80
929	1053	79
930	1054	78
931	1055	76
932	1056	75
933	1057	74
934	1057	73
935	1058	72
936	1059	71
937	1060	70
938	1061	68
939	1062	67
940	1063	66
941	1064	65
942	1065	64
943	1066	63
944	1067	62
945	1068	61
946	1069	59
947	1070	58
948	1071	57
949	1072	56
950	1073	55
951	1074	54
952	1074	53
953	1075	51
954	1076	50
955	1077	49
956	1078	48
957	1079	47
958	1080	46
959	1081	45
960	1082	43
961	1084	42
962	1084	41
963	1085	40
964	1086	39
965	1087	38
966	1088	37
967	1089	36
968	1090	34
969	1091	33
970	1092	32
971	1093	31
972	1094	30
973	1094	29
974	1095	28
975	1096	26
976	1098	25
977	1099	24
978	1100	23
979	1101	22
980	1102	21
981	1103	20
982	1104	19
983	1105	17
984	1105	16
985	1107	15
986	1108	14
987	1109	13
988	1110	12
989	1111	11
990	1112	10
991	1113	8
992	1114	7
993	1115	6
994	1116	5
995	1117	4
996	1118	3
997	1119	2
998	1120	1
999	1121	0
